"","rev.date","rev.sum","rev.rating","rev.title","rev.pros","rev.cons","rev.helpf","rev.id","rev.year","rev.pos","rev.loc","rev.stat"
"1"," Jun 12, 2008","""A great place to work""","5.0","Current Employee - Applications Development Consultant in Paterson, NJ","Very healthy approach to Work/Life Balance, friendly and casual environment. Company promotes and encourages creativity and initiative. Lots of opportunities to advance within the company.","Their cafeteria food is pretty good and relative inexpensive so it's easy to gain weight, but then they do have Gym on site",0,1,2008,"Applications Development Consultant","Paterson, NJ","Current"
"2"," Jun 13, 2008","""Join this firm, if you do not have any growth needs...........""","2.0","Former Employee - Applications Development Consultant in Princeton, NJ","Union work force, even for Technology. So, there is a certain amount of job security","There are very few avenues of growth, especially if you are part of the union. Most employees in IT have no choice, but to be part of the Union. The result is a stagnant job and the usual inflation indexed raise.",1,2,2008,"Applications Development Consultant","Princeton, NJ","Former"
"3"," Jun 16, 2008","""Good place to work; great benefits, well respected company""","4.0","Current Employee - National Account Executive in Atlanta, GA","Great benefits, working for a highly regarded paper as The Wall Street Journal","Just acquired by News Corporation, not a downside but not sure of what will happen in the future. Hopefully poised for future growth.",0,3,2008,"National Account Executive","Atlanta, GA","Current"
"4"," Jun 17, 2008","""Hardly a happy soul in IT.""","1.0","Current Employee - IT Manager in Jersey City, NJ","The Dow Jones and Wall Street Journal names. The possibility that new ownership (Rupert Murdoch) can turn things around.","Little to no advancement in the IT world. Major outsourcing to overseas companies has impacted multiple IT departments. The best staff left long ago and talented prospects look elsewhere. There is a general sense of malaise across IT.",2,4,2008,"IT Manager","Jersey City, NJ","Current"
"5"," Jun 19, 2008","""Nice place to work, not a great place to earn a living.""","4.0","Former Employee - Junior Copy Reader in Jersey City, NJ","A convivial work environment, with smart and interesting co-workers.","Altogether poor compensation. Salaries start low and pretty much stay that way.",1,5,2008,"Junior Copy Reader","Jersey City, NJ","Former"
"6"," Jun 26, 2008","""A good place to dig in.""","4.0","Current Employee - Project Manager in Princeton, NJ","The level of technology we employ, the scope and scale of web applications we develop and support.","Not very agile in developing new products and services, not very receptive to new ideas at a senior management level.",0,6,2008,"Project Manager","Princeton, NJ","Current"
"7"," Jun 26, 2008","""A Great Place, But Now What?""","5.0","Current Employee - Anonymous Employee in Jersey City, NJ","Professionalism of collegues. Folks are smart, courteous and helpful","Unclear future after News Corp. takeover. Vision isn't being communicated well directly to employees.",0,7,2008,"Anonymous Employee","Jersey City, NJ","Current"
"8"," Jul 24, 2008","""Low morale and no growth opportunity are not great benefits.""","2.0","Current Employee - Technical Consultant in Princeton Junction, Mercer, NJ","This company makes a good entry level, foot in the door type of position. The best reasons to work for Dow Jones are the benefits, however, the benefits deteriorate a little more each year so I am not sure how much longer this statement will hold true. It is a great place to meet and network with technical personnel. Unfortunately, the truly talented individuals aren't recognized and are either laid off or they find much better jobs elsewhere.","Dow Jones has been rapidly replacing loyal, talented and extremely knowledgeable people with overseas outsourcing companies. This pretty much eliminates the possibility of growth potential within the organization although management will try to convince you otherwise by saying the positions they are laying off are not management positions therefore you can still be promoted to management. The issue with this is that most technical people don't want to be managers, directors or supervisors, they want to be hands on technicians. This also works to the companies advantage because management levels and higher are not in the safety net of the union. By replacing most of the union employees, and therefore the union representatives, they are decreasing the effectiveness of the union which will in turn lead to contracts that are beneficial only to the company and not the few remaining employees. This leads to a quick deterioration of the ""great benefits"" that the company is known for.The other downside of IT at Dow Jones is the model in which they employ for their IT department. They employ a service oriented model where other departments have to go through a ridiculously complex process to order a particular service. There is no collaboration or working relationship between the requestor and the individuals fulfilling the request and you most likely won't get the same individual again for the next request. This also means that each group has a very specialized function and there is often contention with other groups who can provide the same function but can't since that function hasn't been assigned to their group. For example there is a team of corporate only system administrators who's only job is to build servers for corporate functions such as email. These sa's do not administer email or anything associated with email, their only role is to build and maintain the hardware and os on those corporate servers. Another group is not allowed to touch the hardware or os of that server in anyway, but they administer exchange on that server. So, if exchange hangs, they cannot reboot the server, they have to go through this ridiculously complex process to have the other system administrator reboot the server.This also explains why it is so easy for Dow Jones to outsource these individuals. These individuals didn't have any room for growth outside of their one specialized function assigned to their group.",2,8,2008,"Technical Consultant","Princeton Junction, Mercer, NJ","Current"
"9"," Aug 8, 2008","""So-so job, good benefits""","2.0","Current Employee - Copy Editor in Jersey City, NJ","Pay, benefits, reasonable security (though who knows how long that will last). Some of the managers are nice.","Advancement is tough, and the work can be monotonous. Some of the managers are petty tyrants.",1,9,2008,"Copy Editor","Jersey City, NJ","Current"
"10"," Aug 8, 2008","""So much awesome potential.. so little genuine effort... virtually no pragmatics or trust.""","3.0","Current Employee - Technologist in Princeton Junction, Mercer, NJ","There is plenty of potential if the company could realize its true destiny. There is plenty of funding if the company understood how to focus and deliver. There are tons of smart people who make work enjoyable and productive despite the many harsh realities that stand in the way of true progress.","Its very old-school bureaucratic in organization and expectations. The ""company ""talks big on thought-leadership, change, agility, and progress, but it doesn't step up to the plate, consistently. There is more fear of change and progress, and less desire to learn and grow than any of its potential competition.",1,10,2008,"Technologist","Princeton Junction, Mercer, NJ","Current"
